latitude,longitude,listing_url
40.73862,-73.99758,https://www.airbnb.com/rooms/187986
40.73345,-73.98809,https://www.airbnb.com/rooms/188674
40.6879299,-73.97646399999999,https://www.airbnb.com/rooms/188803
40.74907,-74.00281,https://www.airbnb.com/rooms/189181
40.72036,-73.99435,https://www.airbnb.com/rooms/66275
40.68088,-73.99102,https://www.airbnb.com/rooms/66974
40.67144,-73.76501,https://www.airbnb.com/rooms/231154
40.68518847176618,-73.94268839549034,https://www.airbnb.com/rooms/232612
40.72113,-73.95658,https://www.airbnb.com/rooms/232775
40.70132,-73.90883,https://www.airbnb.com/rooms/233638
40.66386,-73.98519,https://www.airbnb.com/rooms/235552
40.74168,-74.00339,https://www.airbnb.com/rooms/235651
40.75408,-73.97071,https://www.airbnb.com/rooms/235951
40.72113,-73.98442,https://www.airbnb.com/rooms/235960
40.70252,-73.98296,https://www.airbnb.com/rooms/236788
40.71516,-73.96448,https://www.airbnb.com/rooms/67299
40.76336,-73.92099,https://www.airbnb.com/rooms/68253
40.78846,-73.97459,https://www.airbnb.com/rooms/68735
40.72,-73.99487,https://www.airbnb.com/rooms/68974
40.66941,-73.94988,https://www.airbnb.com/rooms/189787
40.67914,-73.96443,https://www.airbnb.com/rooms/190968
40.66836,-73.98166,https://www.airbnb.com/rooms/190974
40.75876,-73.98869,https://www.airbnb.com/rooms/191541
40.74697296939259,-74.00178397023312,https://www.airbnb.com/rooms/191610
40.83338,-73.94326,https://www.airbnb.com/rooms/195123
40.65468,-73.95721,https://www.airbnb.com/rooms/195240
40.6767158,-73.9818207,https://www.airbnb.com/rooms/195989
40.77845,-73.98295,https://www.airbnb.com/rooms/69894
40.77539,-73.91709,https://www.airbnb.com/rooms/239733
40.8666,-73.90061,https://www.airbnb.com/rooms/245544
40.68927,-73.95439,https://www.airbnb.com/rooms/245574
40.73693,-73.98129,https://www.airbnb.com/rooms/246351
40.73756,-73.9535,https://www.airbnb.com/rooms/248865
40.69913,-73.93107,https://www.airbnb.com/rooms/248966
40.85099,-73.92822,https://www.airbnb.com/rooms/249618
40.71065,-73.94102,https://www.airbnb.com/rooms/249704
40.68532,-73.91881,https://www.airbnb.com/rooms/249867
40.71643,-73.99931,https://www.airbnb.com/rooms/250323
40.72997,-74.00196,https://www.airbnb.com/rooms/71366
40.72919,-73.95588,https://www.airbnb.com/rooms/71384
40.77743,-73.97691,https://www.airbnb.com/rooms/72190
40.67635,-73.96108,https://www.airbnb.com/rooms/199733
